DATE,Food Expenditures,GDP,S&P 500,Home Price Index,Unemployed Rate,Real Personal Income,Retail Sales,CPI
2012/10/1,852.9,16420.39,1412.16,144.5643333,7.8,14313,407313,231.638
2013/1/1,859.27,16629.05,1498.11,148.1923333,7.7,13882.26,414639.67,231.679
2013/4/1,857.9,16699.55,1597.57,152.8563333,7.5,14004.38,414010.33,231.797
2013/7/1,866.2,16911.07,1685.73,156.933,7.2,14037.54,417978.67,232.9
2013/10/1,872.63,17133.11,1756.54,160.103,6.9,14090.84,421025.67,233.669
2014/1/1,882.4,17144.28,1782.59,162.5156667,6.7,14284.17,424573,235.288
2014/4/1,892.33,17462.7,1883.95,163.704,6.2,14455.56,434565.33,236.468
2014/7/1,902.17,17743.23,1930.67,165.234,6.1,14632.7,438202.67,237.498
2014/10/1,910.6,17852.54,2018.05,167.3463333,5.7,14850.96,440091.67,237.43
2015/1/1,917.37,17991.35,1994.99,169.1946667,5.5,15098.58,438090,234.747
2015/4/1,916.93,18193.71,2085.51,170.881,5.4,15163.61,445353.67,236.222
2015/7/1,924.5,18306.96,2103.84,172.9673333,5.1,15240.24,449644,238.034
2015/10/1,925.03,18332.08,2079.36,175.699,5,15341.94,449052.33,237.733
2016/1/1,931.03,18425.31,1940.24,177.701,4.9,15403.64,450301.67,237.652
2016/4/1,940.87,18611.62,2065.3,179.4206667,4.9,15387.83,455194.67,238.992
2016/7/1,941.77,18775.46,2173.6,181.8453333,4.9,15473.51,459457.67,240.101
2016/10/1,948.9,18968.04,2126.15,184.7493333,4.8,15556.66,464462.33,241.741
2017/1/1,958.93,19148.19,2278.87,187.365,4.6,15689.52,473045,243.618
2017/4/1,967.03,19304.51,2384.2,189.621,4.4,15829.22,473187,244.193
2017/7/1,976.03,19561.9,2470.3,192.6613333,4.3,15942.18,477474.67,244.243
2017/10/1,989.6,19894.75,2575.26,195.969,4.2,16051.05,489364.67,246.626
2018/1/1,992.87,20155.49,2823.81,199.1306667,4,16130.91,493066.33,248.859
2018/4/1,995.03,20470.2,2648.05,201.4543333,3.9,16225.7,498157.67,250.227
2018/7/1,999.5,20687.28,2816.29,203.7403333,3.8,16398.12,501872.33,251.214
2018/10/1,1011.47,20819.27,2711.74,205.623,3.8,16546.13,503861,252.772
2019/1/1,1016.77,21013.09,2704.1,206.7203333,3.9,16801.46,504631.33,252.718
2019/4/1,1027.37,21272.45,2945.83,208.153,3.6,16844.49,512314.67,255.211
2019/7/1,1039.57,21531.84,2980.38,210.2646667,3.6,16937.27,519194.33,255.685
2019/10/1,1039.53,21706.53,3037.56,212.7706667,3.6,17045.27,522398.67,257.244
2020/1/1,1112.97,21538.03,3225.52,215.5516667,3.8,17155.69,510129,259.037
2020/4/1,1131.27,19636.73,2912.43,217.2633333,13,18543.15,471728,256.092
2020/7/1,1132.63,21362.43,3271.12,222.7953333,8.8,17976.64,542678.67,258.278
2020/10/1,1127.7,21704.71,3269.96,233.0303333,6.8,17704.13,545608.33,260.286
2021/1/1,1175.17,22313.85,3714.24,242.1246667,6.2,19539.38,587079.67,262.65
2021/4/1,1194.23,23046.93,4181.17,253.861,5.9,18214.67,625855.33,266.67
2021/7/1,1211.73,23550.42,4395.26,267.058,5.1,18044.04,625180,271.764
2021/10/1,1239.03,24349.12,4605.38,277.1973333,4.2,17907.82,641976.33,276.522
2022/1/1,1248.53,24740.48,4515.55,290.6456667,3.8,17719.11,660934.33,282.599
2022/4/1,1260.43,25248.48,4131.93,303.4896667,3.6,17621.19,678639.33,288.611
2022/7/1,1289.9,25723.94,4130.29,302.055,3.6,17751.66,683777,294.628
2022/10/1,1310.57,26144.96,3871.98,298.0626667,3.6,17902.1,685023.33,297.987
,.,,,,,,,
